objeto;data_evento;evento;cliente;trecho;evento_trecho;unid_origem;unid_destino;dr_origem;dr_destino;gestao_prealerta;automatico;manual;total;macroprocesso;postado;ultimo_evento_extraviado;ultimo_evento_em_transito;ultimo_evento;ultimo_evento_data;evento_finalizador;tipo;analise_sro;unid_origem_apelido;unid_destino_apelido;trecho_real;se_postagem;unidade_postagem;data_postagem;familia;ultimo_evento_sinistro
BF063975848BR;2020-11-25;OBJETO EM TRÂNSITO PARA A UNIDADE.;EMP BRASILEIRA DE CORREIOS E TELEGRAFOS;CTC BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTC BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-11-25;nao;transito;Pendente (OTU);CTC BRASILIA;CDD SAO SEBASTIAO;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-11-10;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BF063975882BR;2020-11-25;OBJETO EM TRÂNSITO PARA A UNIDADE.;EMP BRASILEIRA DE CORREIOS E TELEGRAFOS;CTC BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTC BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-11-25;nao;transito;Pendente (OTU);CTC BRASILIA;CDD SAO SEBASTIAO;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-11-10;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ187905226BR;2020-12-11;OBJETO EXTRAVIADO;SOLUCAO DOCUMENTAL LTDA;CTE BRASILIA (BSB) - CTE BRASILIA;Passagem interna;CTE BRASILIA;CTE BRASILIA;BSB;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-11;nao;extraviado;A ser refugado na DR de Origem;CTE BRASILIA;CTE BRASILIA;Responsabilizada;SPM;AGF VOLUNTARIOS DA PATRIA;2020-07-02;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ673174043BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CDD BRASILIA SIA (BSB) - COORD SEG CORPOR/GSOP;Objeto expedido;CDD BRASILIA SIA;COORD SEG CORPOR/GSOP;BSB;BSB;Gestao Automatica;1;0;1;outros;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CDD BRASILIA SIA;COORD SEG CORPOR;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-12-16;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ687091233BR;2020-12-29;OBJETO EM TRÂNSITO PARA A UNIDADE.;ITAU UNIBANCO S A;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Solicitação de suspensão de entrega recebida;2021-01-06;nao;transito;Aguardando solicitacao de Desbloqueio;CTC JAGUARE;CTC BRASILIA;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ697378063BR;2020-12-18;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO SANTANDER BRASIL SA;AC ALTO PARAISO DE GOIAS (GO) - CTC BRASILIA;Objeto expedido;AC ALTO PARAISO DE GOIAS;CTC BRASILIA;GO;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Evento posterior ao OTU;AC ALTO PARAISO DE GOIAS;CTC BRASILIA;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ729559603BR;2020-11-16;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CDD SOBRADINHO (BSB) - CDD SOBRADINHO;Passagem interna;CDD SOBRADINHO;CDD SOBRADINHO;BSB;BSB;Gestao Automatica;1;0;1;dist-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-11-16;nao;transito;Pendente (OTU);CDD SOBRADINHO;CDD SOBRADINHO;Responsabilizada;SPM;CTC JAGUARE/GCCAP4;2020-10-28;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ731605947BR;2020-12-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CDD LAGO SUL (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CDD LAGO SUL;CDD SAO SEBASTIAO;BSB;BSB;Gestao Automatica;1;0;1;dist-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-07;nao;transito;Pendente (OTU);CDD LAGO SUL;CDD SAO SEBASTIAO;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-11-20;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ732159702BR;2020-12-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CDD SOBRADINHO (BSB) - CTC BRASILIA;Objeto expedido;CDD SOBRADINHO;CTC BRASILIA;BSB;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;nao;Destinatário ausente;2020-12-12;nao;transito;Evento posterior ao OTU;CDD SOBRADINHO;CTC BRASILIA;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-11-27;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ733118655BR;2020-12-14;OBJETO EXTRAVIADO;BANCO DO BRASIL SA;CDD SOBRADINHO (BSB) - CDD SOBRADINHO;Passagem interna;CDD SOBRADINHO;CDD SOBRADINHO;BSB;BSB;Gestao Manual;0;1;1;dist-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-15;nao;extraviado;A ser refugado na DR de Origem;CDD SOBRADINHO;CDD SOBRADINHO;Responsabilizada;SPM;CTC JAGUARE/GCCAP4;2020-12-08;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ733452753BR;2020-12-19;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CTC BRASILIA (BSB) - CDD SOBRADINHO;Objeto expedido;CTC BRASILIA;CDD SOBRADINHO;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-29;nao;transito;Aguardando solicitacao de Desbloqueio;CTC BRASILIA;CDD SOBRADINHO;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-12-11;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ733906295BR;2021-01-11;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CTC BRASILIA (BSB) - CDD BRASILIA ASA NORTE;Objeto expedido;CTC BRASILIA;CDD BRASILIA ASA NORTE;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-11;nao;transito;Pendente (OTU);CTC BRASILIA;CDD BRASILIA ASA NORTE;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-12-17;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ735157100BR;2021-01-14;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO DO BRASIL SA;CTC BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTC BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-14;nao;transito;Pendente (OTU);CTC BRASILIA;CDD SAO SEBASTIAO;Trecho;SPM;CTC JAGUARE/GCCAP4;2021-01-05;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ796129425BR;2020-11-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;M B C EXPRESS SERVICOS DE COURIER LTDA;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Objeto reintegrado;2021-01-08;nao;transito;A ser refugado na DR de Origem;CTC JAGUARE;CTC BRASILIA;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ800810291BR;2021-01-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO SANTANDER BRASIL SA;AC EQS 104 304 (BSB) - COORD SEG CORPOR/GSOP;Objeto expedido;AC EQS 104 304;COORD SEG CORPOR/GSOP;BSB;BSB;Gestao Automatica;1;0;1;outros;sim;nao;nao;Conferido;2021-01-12;nao;transito;Evento posterior ao OTU;AC EQS 104 304;COORD SEG CORPOR;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-10-21;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ803805110BR;2020-11-23;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO BRADESCO SA;CTC BRASILIA (BSB) - CDD RECANTO DAS EMAS;Objeto expedido;CTC BRASILIA;CDD RECANTO DAS EMAS;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-11-23;nao;transito;Pendente (OTU);CTC BRASILIA;CDD RECANTO DAS EMAS;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-11-06;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ823238740BR;2020-12-14;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO SANTANDER BRASIL SA;CDD GAMA (BSB) - CDD GAMA;Objeto em trânsito para a unidade.;CDD GAMA;CDD GAMA;BSB;BSB;Gestao Automatica;1;0;1;dist-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-14;nao;transito;Pendente (OTU);CDD GAMA;CDD GAMA;Responsabilizada;SPM;CTC JAGUARE/GCCAP4;2020-11-24;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ847126663BR;2020-12-28;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO BRADESCO SA;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;sim;nao;nao;Objeto reintegrado;2021-01-12;nao;transito;Aguardando solicitacao de Desbloqueio;CTC JAGUARE;CTC BRASILIA;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-12-18;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ859451903BR;2020-12-22;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO SANTANDER BRASIL SA;CDD GAMA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CDD GAMA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Automatica;1;0;1;dist-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-22;nao;transito;Pendente (OTU);CDD GAMA;CDD SAO SEBASTIAO;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ861201175BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO SANTANDER BRASIL SA;CTC BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTC BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Objeto reintegrado;2021-01-14;nao;transito;Aguardando solicitacao de Desbloqueio;CTC BRASILIA;CDD SAO SEBASTIAO;Trecho;SPM;CTC JAGUARE/GCCAP4;2020-12-22;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ861252804BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;BANCO SANTANDER BRASIL SA;CTC BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTC BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Aguardando solicitacao de Desbloqueio;CTC BRASILIA;CDD SAO SEBASTIAO;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ883415380BR;2021-01-13;OBJETO EM TRÂNSITO PARA A UNIDADE.;ITAU UNIBANCO S A;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-13;nao;transito;Pendente (OTU);CTC JAGUARE;CTC BRASILIA;Trecho;SPM;CTC JAGUARE/GCCAP4;2021-01-06;REMESSA EXPRESSA TALÃO/CARTÃO;sim
BJ901834685BR;2020-12-29;OBJETO EM TRÂNSITO PARA A UNIDADE.;TICKET SERVICOS SA;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Aguardando solicitacao de Desbloqueio;CTC JAGUARE;CTC BRASILIA;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ901835111BR;2020-12-29;OBJETO EM TRÂNSITO PARA A UNIDADE.;TICKET SERVICOS SA;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Aguardando solicitacao de Desbloqueio;CTC JAGUARE;CTC BRASILIA;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ901836315BR;2020-12-29;OBJETO EM TRÂNSITO PARA A UNIDADE.;TICKET SERVICOS SA;CTC JAGUARE/GCCAP4 (SPM) - CTC BRASILIA;Objeto expedido;CTC JAGUARE/GCCAP4;CTC BRASILIA;SPM;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Objeto expedido;2021-01-14;nao;transito;Aguardando solicitacao de Desbloqueio;CTC JAGUARE;CTC BRASILIA;Trecho;N/C;N/C;;REMESSA EXPRESSA TALÃO/CARTÃO;nao
BJ937408605BR;2021-01-14;OBJETO EM TRÂNSITO PARA A UNIDADE.;ITAU UNIBANCO S A;CTC BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTC BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-14;nao;transito;Pendente (OTU);CTC BRASILIA;CDD SAO SEBASTIAO;Trecho;SPM;CTC JAGUARE/GCCAP4;2021-01-11;REMESSA EXPRESSA TALÃO/CARTÃO;sim
DJ016537300BR;2021-01-12;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-12;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC FERREIRA GOMES;2021-01-05;SEDEX;sim
DJ134484274BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-06;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;AP;AC MACAPA;2020-12-29;SEDEX;sim
DJ134484359BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;GOVERNO DO ESTADO DO AMAPA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DJ134484362BR;2021-01-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;GOVERNO DO ESTADO DO AMAPA;CDD MARCO ZERO (AP) - CTE BRASILIA;Objeto expedido;CDD MARCO ZERO;CTE BRASILIA;AP;BSB;Gestao Manual;0;1;1;dist-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2021-01-07;nao;transito;Pendente (OTU);CDD MARCO ZERO;CTE BRASILIA;Trecho;N/C;N/C;;SEDEX;sim
DJ884196460BR;2020-12-23;OBJETO EM TRÂNSITO PARA A UNIDADE.;INSTITUTO NAC COLONIZAC REFORMA AGRARIA;CTCE FLORIANOPOLIS (SC) - CTE BRASILIA;Objeto expedido;CTCE FLORIANOPOLIS;CTE BRASILIA;SC;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-23;nao;transito;Pendente (OTU);CTCE FLORIANOPOLIS;CTE BRASILIA;Trecho;SC;AC FLORESTA;2020-12-17;SEDEX;sim
DL439781706BR;2020-11-28;OBJETO EM TRÂNSITO PARA A UNIDADE.;NA;CTE BRASILIA (BSB) - CEE BRASILIA SUL;Objeto expedido;CTE BRASILIA;CEE BRASILIA SUL;BSB;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-11-28;nao;transito;Pendente (OTU);CTE BRASILIA;CEE BRASILIA SUL;Trecho;N/C;N/C;;SEDEX;sim
