DR;CD_ORGAO;ORGAO;AG_POSTAGEM;DT_POSTAGEM;ETIQUETA;SERVICO;VLR_MEDIDA;CD_GRUPO_PAIS_DESTINO;CEP_DESTINO;VLR_COBRADO_DESTINATARIO;VLR_DECLARADO;COD_ADM;PRODUTO;QTDE_PRESTADA;VLR_SERVICO;VLR_DESCONTO;ACRESCIMO;VLR_FINAL;CARTAO;DOCUMENTO;SERVIÇO_ADICIONAL;NOME_SERVICO;CONTRATO;ATENDIMENTO;DT_MOV
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544280033BR;12483;0,04;0;74805100;0;0;0;0;1;15,55;0;0;15,55;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544280047BR;12483;0,045;0;65900100;0;0;0;0;1;9,2;0;0;9,2;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;OJ265641114BR;4162;0,19;0;73809650;0;0;11169800;0;1;18,18;0;0;18,18;00067059090;3509569        ;  -  -  -  -  ;SEDEX CONTRATO AGENCIA;9912278851     ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;PM589379501BR;4510;1,329;0;85867650;0;0;0;0;1;86,1;0;0;86,1;00000000000;               ;  -  -  -  -  ;PAC A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;OD786909695BR;4014;0,144;0;87013072;0;0;0;0;1;98;0;0;98;00000000000;               ;  -  -  -  -  ;SEDEX A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;IF819015454BR;34258;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;1              ;  -  -  -  -  ;CPF - LANCAMENTO ETIQUETA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;IF819016168BR;34258;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;2              ;  -  -  -  -  ;CPF - LANCAMENTO ETIQUETA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;PM589378965BR;4510;0,01;0;71215903;0;0;0;0;1;29,4;0;0;29,4;00000000000;               ;  -  -  -  -  ;PAC A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017441BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017455BR;34207;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - INSCRIÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;             ;6114;0;0;00000000;0;0;18257852;0;1;15;0;0;15;00000000000;               ;  -  -  -  -  ;VENDA CARNE BAU JEQUITI;9912446283     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017469BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017472BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017486BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017490BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379515BR;4510;0,856;0;13412266;0;0;0;0;1;58,1;0;0;58,1;00000000000;               ;  -  -  -  -  ;PAC A VISTA;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;JU544280055BR;12483;0,06;0;14026020;0;0;0;0;1;16,65;0;0;16,65;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379529BR;4677;1,453;0;04223000;0;21;11169800;0;1;49,09;0;0;49,09;00071109641;370422608      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379532BR;4677;0,945;0;13617200;0;21;11169800;0;1;44,46;0;0;44,46;00071109641;370450719      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379546BR;4677;0,724;0;13617200;0;21;11169800;0;1;44,46;0;0;44,46;00071109641;370451668      ;64-  -  -  -  ;PAC REVERSO ESPELHO 04669;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;IF819017509BR;34223;0;0;00000000;0;0;0;0;1;7;0;0;7;00000000000;               ;  -  -  -  -  ;CPF - ALTERAÇÃO;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;             ;34053;0;0;00000000;0;0;0;0;1;134,7;0;0;134,7;00000000000;               ;  -  -  -  -  ;CAIXA POSTAL ASSIN ANUAL;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;JU544280078BR;10065;0,015;0;76410000;0;0;14281074;0;1;14,75;0;0;14,75;00069559368;370458025      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;JU544280064BR;10065;0,015;0;76410000;0;0;14281074;0;1;14,75;0;0;14,75;00069559368;370458025      ;01-25-  -  -  ;CARTA A FATURAR CHANCELA;9912355440     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;JU544280081BR;12483;0,1;0;22210060;0;0;0;0;1;10,3;0;0;10,3;00000000000;               ;24-  -  -  -  ;CARTA REGISTRADA À VISTA;               ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PW836545253BR;4669;0,624;0;14407556;0;0;11169800;0;1;44,45;0;0;44,45;00067059090;7079304        ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PW846918895BR;4669;0,245;0;72240815;0;0;11169800;0;1;21,11;0;0;21,11;00067059090;4653259        ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PW845875054BR;4669;0,659;0;39450000;0;0;11169800;0;1;26,95;0;0;26,95;00067059090;752352         ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PW837940825BR;4669;0,62;0;88804690;0;0;11169800;0;1;60,74;0;0;60,74;00067059090;5940044        ;  -  -  -  -  ;PAC CONTRATO AGENCIA;9912278851     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379550BR;4677;0,28;0;37640902;0;0;11328401;0;1;42,87;0;0;42,87;00062758870;370488286      ;  -  -  -  -  ;PAC REVERSO ESPELHO 04669;9912286743     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;OD786909700BR;4170;0,53;0;13213913;0;0;10078703;0;1;68,89;0;0;68,89;00062772694;370492540      ;87-  -  -  -  ;SEDEX REVERSO ESPELHO 04162;9912252396     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379563BR;4677;1,8;0;37640902;0;0;11328401;0;1;49,08;0;0;49,08;00062758870;370493858      ;  -  -  -  -  ;PAC REVERSO ESPELHO 04669;9912286743     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;28/04/2020;PM589379577BR;4677;0,78;0;37640902;0;0;11328401;0;1;44,45;0;0;44,45;00062758870;370496774      ;  -  -  -  -  ;PAC REVERSO ESPELHO 04669;9912286743     ;83450505   ;28/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;             ;10014;0,02;0;76350000;0;0;0;0;6;0;0;0;0;00000000000;               ;  -  -  -  -  ;CARTA SIMPLES A VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544280002BR;12483;0,02;0;76550000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544280020BR;12483;0,02;0;76740000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
GO;16300793;AC RUBIATABA;16300793;27/04/2020;JU544280016BR;12483;0,02;0;76340000;0;0;0;0;1;14,75;0;0;14,75;00000000000;               ;24-39-  -  -  ;CARTA REGISTRADA À VISTA;               ;83276858   ;27/04/2020
